"","id","entidad","sexo","edad","nivel_esc","esc_cve","esc_nombre","lenguaje","cognitivas","sociales","tecnicas","puesto","year_exp","bin_year_exp","trabajos_n","palabras_n","validaciones_n","contactos_n","rimbo_n","carrera_cve","sostenimiento","experiencia","p1","p2","p3","puesto_1"
"896",4187,9,"1","34","1",3001,"UNIVERSIDAD DE NEGOCIOS DE TABASCO",1,7,6,3,"4",15,1,15,119,125,500,0,4,"0","1",5,2,10500,1
"897",4188,9,"2","35","1",3001,"UNIVERSIDAD DE NEGOCIOS DE TABASCO",1,9,15,2,"4",10,1,16,175,72,386,1,4,"0","1",4,3,10500,1
"903",4196,9,"1","35","1",3001,"UNIVERSIDAD DE NEGOCIOS DE TABASCO",1,8,8,4,"2",6,1,14,201,20,500,5,4,"0","1",4,3,11000,0
"909",4202,5,"1","35","2",766,"UNIVERSIDAD AUTÓNOMA DE LA LAGUNA",1,5,3,6,"3",7,1,6,108,4,393,0,4,"0","1",4,3,12000,1
"916",4213,31,"1","30","2",3485,"UNIVERSIDAD AUTÓNOMA DE YUCATÁN",1,0,6,4,"4",5,1,8,154,17,132,2,4,"1","0",4,2,10500,1
"917",4214,9,"1","36","1",3485,"UNIVERSIDAD AUTÓNOMA DE YUCATÁN",1,5,4,0,"2",6,1,10,303,7,500,1,4,"1","0",4,3,11000,0
"921",4219,9,"1","35","2",460,"UNIVERSIDAD AUTÓNOMA DE CHIHUAHUA",1,0,0,4,"4",10,1,10,254,70,500,0,6,"1","1",4,5,16000,1
"923",4221,8,"1","35","1",460,"UNIVERSIDAD AUTÓNOMA DE CHIHUAHUA",1,6,4,1,"4",7,1,10,161,2,181,1,5,"1","1",4,3,9000,1
"937",4237,8,"1","35","1",460,"UNIVERSIDAD AUTÓNOMA DE CHIHUAHUA",1,10,3,1,"4",10,1,14,134,52,500,2,4,"1","1",3,3,10000,1
"938",4239,9,"1","36","1",2020,"UNIVERSIDAD AUTÓNOMA DEL ESTADO DE MORELOS",1,3,4,0,"4",6,1,5,148,0,3,0,3,"1","0",4,3,12000,1
"939",4240,9,"1","31","2",2020,"UNIVERSIDAD AUTÓNOMA DEL ESTADO DE MORELOS",1,6,0,3,"4",6,1,10,131,1,278,1,6,"1","1",3,3,11000,1
"949",4250,9,"1","33","2",2020,"UNIVERSIDAD AUTÓNOMA DEL ESTADO DE MORELOS",1,4,4,3,"4",10,1,24,241,409,500,4,3,"1","0",4,2,10000,1
"950",4257,15,"1","34","1",147,"UNIVERSIDAD AUTÓNOMA DE BAJA CALIFORNIA",1,5,1,0,"3",11,1,10,109,95,492,1,7,"1","1",5,4,12000,1
"954",4262,9,"2","32","1",2185,"UNIVERSIDAD DE MONTERREY",1,3,2,1,"1",3,1,18,98,0,500,1,3,"0","1",2,2,6000,0
"957",4265,9,"2","33","1",2185,"UNIVERSIDAD DE MONTERREY",1,11,6,1,"4",7,1,16,253,120,500,0,10,"0","1",4,3,11000,1
"972",4287,9,"2","33","1",2732,"UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO",1,6,3,1,"4",10,1,8,197,0,204,0,3,"0","1",3,2,10500,1
"974",4289,9,"2","29","1",2732,"UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO",0,1,0,0,"4",4,1,18,89,0,500,0,2,"0","1",2,2,9500,1
"979",4294,9,"2","31","2",2732,"UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO",0,0,2,3,"1",10,1,10,59,0,237,1,4,"0","1",2,2,5000,0
"986",4302,8,"2","32","1",461,"UNIVERSIDAD AUTÓNOMA DE CIUDAD JUÁREZ",1,5,1,0,"4",7,1,10,95,0,167,0,3,"1","1",5,3,12500,1
"998",4316,9,"1","34","2",3103,"UNIVERSIDAD DEL GOLFO",1,5,0,1,"2",12,1,10,178,92,500,0,7,"0","1",3,2,11000,0
"1008",4327,9,"1","34","1",3103,"UNIVERSIDAD DEL GOLFO",1,5,7,1,"4",10,1,10,118,0,446,0,4,"0","1",4,2,11000,1
"1029",4348,20,"2","22","2",2281,"UNIVERSIDAD REGIONAL DEL SURESTE, A.C.",1,3,2,1,"4",5,1,6,88,0,307,0,2,"0","0",5,3,14000,1
